user_id,recommend,Fecha
76561197970982479,True,2011-11-05
76561197970982479,True,2011-07-15
76561197970982479,True,2011-04-21
js41637,True,2014-06-24
js41637,True,2013-09-08
js41637,True,2013-11-29
evcentric,True,2014-02-03
evcentric,True,2015-12-04
evcentric,True,2014-11-03
evcentric,True,2014-10-15
evcentric,True,2014-10-15
evcentric,True,2014-10-15
doctr,True,2013-10-14
doctr,True,2012-07-28
doctr,True,2012-06-02
doctr,True,2014-06-29
doctr,True,2012-11-22
doctr,True,2012-02-23
maplemage,True,2014-04-15
maplemage,True,2013-12-23
maplemage,True,2014-03-14
maplemage,True,2013-07-11
Wackky,True,2014-05-05
Wackky,True,2012-12-24
Wackky,True,2012-10-21
Wackky,True,2012-03-20
Wackky,True,2012-03-09
76561198079601835,True,2014-05-20
MeaTCompany,True,2014-07-24
76561198089393905,True,2015-02-01
76561198089393905,True,2014-06-20
76561198156664158,True,2014-06-16
76561198077246154,True,2014-06-11
76561198077246154,True,2014-08-25
WeiEDKrSat,True,2013-12-25
thequeenpanda,True,2012-06-23
death-hunter,True,2015-09-05
death-hunter,True,2015-03-30
death-hunter,True,2014-02-19
DJKamBer,True,2014-07-14
DJKamBer,True,2013-04-27
DJKamBer,True,2015-07-20
DJKamBer,True,2013-11-04
DJKamBer,True,2013-07-12
DJKamBer,True,2012-08-19
Rainbow-Dashie,True,2015-06-19
Rainbow-Dashie,True,2014-09-20
Rainbow-Dashie,True,2014-09-07
76561198043472122,False,2014-12-19
MarbleShrine,True,2015-02-17
PPanther,True,2014-06-07
devvonst,True,2014-02-12
devvonst,True,2014-02-09
devvonst,True,2015-10-31
Fr0stedLine,True,2014-02-27
starkillershadow553,True,2015-02-04
starkillershadow553,True,2014-08-23
starkillershadow553,True,2014-04-05
76561198058373434,True,2015-01-08
76561198048353577,True,2015-10-26
76561198048353577,True,2014-05-16
76561198048353577,True,2013-03-20
76561198066046412,False,2015-12-28
76561198066046412,True,2015-05-19
tru_mu_,True,2015-12-15
76561198070565427,True,2014-03-31
76561198070565427,True,2015-08-21
76561198070565427,True,2014-10-17
76561198070565427,False,2014-06-27
76561198070565427,True,2014-04-28
SavageEeEe,True,2015-11-12
76561198076909484,True,2014-06-18
KanadeTheNeko,True,2014-11-20
KanadeTheNeko,True,2014-05-29
Leaf_Light_Moscow,True,2014-07-09
GoAwayZach,True,2014-12-29
76561198054540475,True,2015-02-13
76561198054540475,True,2014-12-26
76561198054540475,True,2014-02-04
76561198085547365,True,2014-06-16
76561198085547365,True,2014-06-16
76561198061252210,True,2015-05-21
OfficialShroomsy,True,2013-12-06
boydeer,True,2014-05-12
boydeer,False,2015-08-24
VVillis,True,2015-01-06
76561198083226897,True,2015-12-22
76561198075277292,True,2015-06-23
76561198075277292,True,2015-09-11
76561198028895010,True,2013-04-22
76561198028895010,True,2012-05-27
76561198170198366,True,2014-01-18
diego9031,True,2014-07-30
diego9031,True,2014-07-28
diego9031,True,2015-12-05
diego9031,True,2015-10-04
diego9031,True,2015-10-03
diego9031,True,2015-08-13
diego9031,True,2015-02-22
diego9031,True,2015-01-14
diego9031,True,2013-12-14
diego9031,True,2013-12-01
jarrodtrim,True,2012-02-11
76561198078738103,True,2014-02-20
76561198067936203,True,2015-03-12
76561198079770573,True,2015-10-14
76561198087586464,True,2013-10-27
Derp-e,True,2015-11-27
76561198070194565,True,2014-10-09
76561198070194565,True,2014-05-07
76561198070194565,True,2014-05-07
76561198070194565,True,2014-04-04
76561198070194565,True,2014-03-30
76561198070194565,True,2014-03-28
76561198070194565,True,2015-11-09
Rivtex,True,2015-12-23
UTNerd24,True,2014-05-06
UTNerd24,True,2015-12-02
UTNerd24,True,2015-06-06
UTNerd24,True,2015-09-29
UTNerd24,True,2014-09-08
UTNerd24,True,2013-12-15
sandwiches1,False,2015-11-23
76561198138053270,True,2014-06-01
lucaswerg,True,2014-07-11
lucaswerg,True,2014-11-14
Life-Of-Blu,True,2015-11-13
Life-Of-Blu,True,2013-12-15
CaptianAutismo,True,2015-12-17
76561198075895633,True,2014-10-26
TheDropix101,True,2014-01-11
kube134,True,2014-06-28
iamthekingofbrowntown,False,2015-09-12
iamthekingofbrowntown,True,2015-09-13
iamthekingofbrowntown,True,2014-04-20
iamthekingofbrowntown,True,2015-10-14
MainScout,True,2014-02-26
yookobz,True,2015-11-19
yookobz,True,2013-06-25
Posiblydead,True,2014-04-11
Posiblydead,True,2014-02-22
Posiblydead,True,2012-09-24
Mossy_Gaming,True,2015-09-26
76561198102421718,True,2015-06-12
76561198102421718,True,2015-08-03
76561198102421718,True,2015-06-26
76561198087407319,True,2014-01-15
76561198056741844,True,2014-10-14
sad-commie,True,2014-08-31
sad-commie,True,2014-07-09
sad-commie,True,2014-03-13
76561198030567998,True,2014-11-11
76561198030567998,True,2015-07-21
76561198030567998,True,2015-07-05
76561198030567998,True,2015-03-12
76561198030567998,True,2014-02-23
76561198010674657,False,2014-03-27
76561198010674657,True,2014-01-15
Coldaniel,True,2015-03-22
Coldaniel,True,2014-08-21
Coldaniel,True,2015-03-13
therealmorty,True,2015-03-20
therealmorty,True,2015-03-07
Berserklejerker,True,2015-10-10
76561198061730629,True,2014-07-06
YoHuNz,True,2014-06-19
YoHuNz,True,2014-02-19
possessioniskey,True,2015-04-11
possessioniskey,True,2015-12-24
possessioniskey,True,2014-05-17
76561198093112529,True,2014-08-09
76561198060447950,True,2015-09-26
whiteofwolfing,True,2015-05-22
sergarino,True,2015-08-22
76561198081962345,True,2014-05-26
76561198081962345,True,2014-04-05
